"Dealer Name","Contact Person","Address","City","State","Contact 1","Contact 2","Email"
"Cargo Honda","Mr. R.K.Vatta","Jalandhar(Pb.) 144001","Jalandhar","Punjab","0181-5065424","9814100326","cargohonda@gmail.com"
"Cargo Honda","Vikram San","Village Dalli,Khasra No-19/8, Jalandhar Road, Opp Janta College For Women, Bhogpur 144201","Jalandhar","Punjab","","9914300328","hondabhogpur@gmail.com"
"Cargo Honda","Vinay San","Cargo Honda, Main G.T. Road, Goraya 144409","Jalandhar","Punjab","","9914300353","hondagoraya@gmail.com"
"Gs Honda","Gurinder Pal Singh","Opp.Maharaja Palace,Nurmahal Road,Nakodar 144040","Jalandhar","Punjab","","9914202111, 9814402311","gshonda@gmail.com"
"Gs Honda","Mr. Gurinder Pal Singh","Gs Honda, Football Chowk 144001","Jalandhar","Punjab","0181-5031111","9855201111, 9779115111","honda_gs@yahoo.com, gshonda@gmail.com"
"Gs Honda","Ashok Sharma","Opp. Magnolia (Nh1),G.T Road,Kartarpur 144801","Jalandhar","Punjab","","9914888111","gshonda@gmail.com"
"Gs Honda","Lakhvir Singh","Makhu Road, Lohiya Khas 144629","Jalandhar","Punjab","","9815978001","lakhkallay@gmail.com"
"GS Honda","Gurinder Paul Singh","Nakodar Road, Near Wadala Chowk, Jalandhar 144001","Jalandhar","Punjab","","9814402311","gshonda@gmail.com"
"Raga Honda","Mr. Ramneek Handa","Sarb Multiplex Road, Near Focal Point Chowk, Jalandhar 144010","Jalandhar","Punjab","","8437027771","ragahonda2w@gmail.com"
"Raga Honda","Mr. Virender Sharma","Jal-Asr Bye Pass Road Opp. Indian Oil Depot, Outside Surya Enclave Jalandhar. 144010","Jalandhar","Punjab","0181-2420222","8437027772, 8437000000","ragahonda2w@gmail.com"
"Sgs Honda","Mr. Survinder Singh","Nakodar Road, Nurmahal 141309","Jalandhar","Punjab","","9855502311","sgshonda@gmail.com"
"Speed Honda","Amnik Singh","Jagraon Road, Near Police Station, Mehatpur 144041","Jalandhar","Punjab","","9876874333","speedhonda84@gmail.com"
"Style Honda","Kuldip Kumar","Kapurthala Road, Begowal 144621","Kapurthala","Punjab","","9876980001","kuldipkumar50@yahoo.com"
"Mahesh Honda","Mr. Dinesh Gupta","Old Grain Market Road 144601","Kapurthala","Punjab","01822-238257/8","9872400257","maheshagencies@rediffmail.com"
"Mahesh Honda","Manpreet Singh","Talwandi Chaudhrian Road , Sultanpur Lodhi , Kapurthala, Punjab.  144626","Kapurthala","Punjab","","9814715087","maheshagencies_dk@yahoo.co.in"
"Mangalam Automobiles","Chanchal Takyar","Manglam Honda,Near Chawla Chiken ,G.T.Road,Sirhind 140406","Khanna","Punjab","","9417043667","manglamhondasirhind@yahoo.co.in"
"Goyal Honda","Nishant Goyal","Mandi Gobind Garh Road,Amloh 181114","Khanna","Punjab","","9988238083","nishank.goyal@yahoo.com"
"Gurdev Honda","Damanjot","Guru Dev Honda, Ludhiana-Chandigarh Road, Khamano 141801","Khanna","Punjab","","9888500041","hondakhamano@gmail.com"
"Platinum Honda","Mr. Sunny Mukhija","Opp. Grain Market , G.T Road , Khanna 141401","Khanna","Punjab","01628-506002, 506003","9216820002","platinumhondakhanna@yahoo.co.in"
"Platinum Honda","Chandan Mehta","Platinum Honda, Near Gps, G.T.Road,Mandi Govindgarh 147301","Khanna","Punjab","","9216807220","platinumhondamgg@gmail.com"
"Platinum Honda","Gagan Arora","M/S Platinum Automobiles,Chandigarh Road ,Samrala 141114","Khanna","Punjab","","9216807216","platinumhondasamrala@gmail.com"
"Platinum Honda","Mr. Sunny Makhija","Near Zenith Hotel, Opp. Bus Stand, Doraha 141421","Khanna","Punjab","","9216820002","platinumhondakhanna@yahoo.co.in"
"Shree Aadi Shakti Honda","Nitish Kunra","Maler Kotla Road, Rana Sahib Chowk, Payal 141416","Khanna","Punjab","","9915006664","nitishkunra@gmail.com"
"#N/A","Mr. Sumesh Chadha","Khasra No.807/808, 141015","Ludhiana","Punjab","0161-5213000","9417399053","simranhonda@chadhamotors.org"
"Guru Honda","Ravinder Singh","Ludhiana Malerkotla Road, Dehlon 141118","Ludhiana","Punjab","","9855966467","gurumotorsdehlon@gmail.com"
"Gurukirpa Honda","Rupinder Singh","Ropar Road, Machiwara, Ludhiana 141115","Ludhiana","Punjab","","9888151998","gurkirpa98@gmail.com"
"Kanishk Honda","Mr. Priyavrat Mittal","Plot No.-473, Near Bus Stand Jagraon,Punjab 142026","Ludhiana","Punjab","","9888877500",""
"Krishna Honda","Mr. Pankaj Gupta","1586/3 Mohalla Anandpura, Basti Jodhewal Chowk Bye-Pass Road, Ludhiana 141007","Ludhiana","Punjab","","9876207600","krishnahonda@hotmail.com"
"Libra Honda","Mr. Gurinderjit Singh Libra","Plot No 4, G.T. Road 141003","Ludhiana","Punjab","","9814000008","Gurinderlibra@hotmail.com"
"Pioneer Honda","Mr. Gautam Garg","G.T Road Gandhi Nagar,Dholewal Chowk 141003","Ludhiana","Punjab","","9878494447","shreedadu@gmail.com"
"Sarvpriya Honda","Mr. Vinod Goel","Ferozepur Road, Near Ansal Plaza, Ludhiana 141001","Ludhiana","Punjab","0161-2492945/47","9815544577","sarvpriyahonda@hotmail.com"
"Sarvpriya Honda","Malkit Singh","74/2,Malerkotla Raod,Near Ghora Chowk,Raekot 141109","Ludhiana","Punjab","","9876955007","sarvpriyahonda@hotmail.com"
"Sarvpriya Honda","Mr. Ravinder Ji","Sarvpriya Auto'S Pvt. Ltd. Hambra Road Opposite Sub Ragistrar Office,Ludhiana 141110","Ludhiana","Punjab","","9915701505, 8146922293","sarvdriyahonda@hotmail.com"
"Sarvpriya Honda","Mr. Vinoad Goyal","Sarpriya Honda, Jagraon Road, Mullanpur Dakha, Punjab 141101","Ludhiana","Punjab","","9815544977","sarvpriyahonda@hotmail.com"
"Sarvpriya Honda","Prince San","Near Circuit House,Ferozpur Road,Ludhiana 141008","Ludhiana","Punjab","","9915701503","sarvpriya_danamandi@hotmail.com"
"Savhar Honda","Jatinder Singh","Dehlon Road, Shanewal, Main Gate, Garden City, Shop-3 141120","Ludhiana","Punjab","","9855611228","savharhonda@gmail.com"
"Simran Honda","","# 19, G.T.B Nagar, Chandigarh Road, Near Veer Palace 141015","Ludhiana","Punjab","","",""
"Guru Kripa Honda","Mr. Avtar Singh","Main Road, Near Chanda Mor, Amargarh, Sangrur Distt 148002","Malerkotla","Punjab","","9914122955","gkautomobileamargarh@gmail.com"
"Jain Honda","Vipan Jain","Malerkotla Road, Dhuri 148024","Malerkotla","Punjab","","9815472131","bk4130@gmail.com"
"Malerkotla Honda","Mr. Raj Kumar","Thandi Sadak Near Truck Union Malerkotla 148023","Malerkotla","Punjab","01675-258802","9041041802","malerkotlahonda@gmail.com"
"Malerkotla Honda","Rajandeep Garg","Sangrur Road,Bhawanigarh 148026","Malerkotla","Punjab","","9041042803","malerkotla honda@gmail.com"
"Sirat Honda","Mr. Pawan Kumar Jain","Bus Stand Road Near Easy Day, Ahmedgarh  148021","Malerkotla","Punjab","","9781705000","jrishu08@gmail.com"
"Deluxe Honda","Mr. Gurminder Pal Singh","G.T.Road, Near Bus Stand, Malout, Dist-Shri Muktsar Sahib 152107","Malout","Punjab","","9356760750","delux123in@yahoo.co.in"
"Punjab Honda","Kewal Krishan","Gt Road, Near Bharu Chowk, Opp. Indian Oil Pump, Gidderbaha 152101","Malout","Punjab","","9855500780","punjabautomobiles01@gmail.com"
"Bansal Honda","Mr. Pankaj Bansal","Opp.  Surya Residency  Adjoining Arvind Nagar Sirsa Barnala Road Mansa 151505","Mansa","Punjab","","9216712001","bansalhondamns@gmail.com"
"Goyal Honda","Harsh Goyal","Bhikhi Road, Budhlada - 151502 151502","Mansa","Punjab","","9872487100","goyalhonda16@gmail.com"
"Hem Honda","Mr. Gurmeet Singh","C/O Hem Honda, Ferozepur Road, Moga, Punjab 142001","Moga","Punjab","","9988000798","hemhonda@yahoo.co.in"
"Mohali Honda","Mr. Deepak Chopra","Plot No.B-26, Industrial Area, Phase-3,Mohali (Punjab) 160055","Mohali","Punjab","0172-4640000","9041013901","mohalihonda@gmail.com"
"Mohali Honda","Deepak Chopra","Building 433, Kharar Chandigarh Road, Mundi Kharar Distt.,  140301","Mohali","Punjab","","9815277771","gm.mohalihonda@gmail.com"
"Satkar Honda","Jaswinder Singh","Ambala- Chandigarh Road, Derabassi 140507","Mohali","Punjab","","9815159109","satkarhonda2012@gmail.com"
"Sehgal Honda","Mr. Sunil Sehgal","Near Bus Stand, Gt Road 144211","Mukerian","Punjab","0188-3246565","9876275566","sunil.sehgal43@yahoo.com"
"Sehgal Honda","Bhupender San","Pt Milkhi Ram & Sons Market, Near Satsang Ghar, Bye Pass Road, Talwara 144216","Mukerian","Punjab","","8728915566","sunil.sehgal43@gmail.com"
"Sohanpal Honda","Amandeep Singh","Gharshankar Road, Near Tehsil Complex, Balachaur 144521","Nawanshahr","Punjab","","8196000089","sohanpalhonda@gmail.com"
"Cargo Honda","Mr. Kuljit Singh","Garhshankar Road, Nawanshahr 144514","Nawanshahr","Punjab","01823-645700","9877534549","hondanawanshahr@gmail.com"
"J. P . Honda","Jitender Pal Singh","Pathankot Road, Dinanagar 143531","Pathankot","Punjab","","9815010099","jpdinanagar@gmail.com"
"Bhalai Honda","Mr. Mr. Kamal Behal","Nr. Venice Hotel Dhangu Road Pathankot 145001","Pathankot","Punjab","","9914727374","salesbhalaihonda@gmail.com"
"Shiva Honda","Rakesh Kumar","Main Market,  Jogiyal, Dist: Phatankot 145029","Pathankot","Punjab","","9780254768","shivahonda@gmail.com"
"Dimple & Dimple Honda","Dimple Aneja","Gaga Road, Samana 147101","Patiala","Punjab","","9815237956","dimpleanddimplehonda@yahoo.com"
"Lyallpur Honda","Mr. Jasvinder Singh Saini","Showroom No-68, Gobind Bagh , Rajpura Road, Patiala 147001","Patiala","Punjab","0175-5005000, 5017004","9417202288, 9463702588","lyallpurhonda@gmail.com"
"Lyallpur Honda","Mr. Jasvinder Singh Saini","Cantt Road, Near Grid Chowk, Nabha 147201","Patiala","Punjab","","9878220001","lyallpurnabha@gmail.com"
"Raj Honda","Gurpreet Singh","Opp. Malwa Gramin Bank, Patiala Road, Patran 147105","Patiala","Punjab","","9876370723","raj2wheeler@gmail.com"
"Raj Honda","Gurpreet Singh","Channa Mour-Pehowa Road, Devigarh 147001","Patiala","Punjab","","9876370723","raj2wheeler@gmail.com"
"Raj Honda","Mr. Rajwinder Singh, Mr. Manjot Singh","Sirhind Road Near Bye-Pass Patiala 147001","Patiala","Punjab","0175-2233333","9216731180","raj2wheeler@gmail.com"
"Raj Honda","Parminder Singh Bhatia","Khasra No 1135/730/0-9, Bhadson Road Village Jasowal Patiala (Punjab) 147001","Patiala","Punjab","9216731180","","raj2wheelerbhadsonroad@gmail.com"
"Sandeep Honda","Mr. Sandeep Puri","S.C.O. 8 & 9 & 10  Leela  Bhawan,  Patiala,  Punjab 147001","Patiala","Punjab","","9317112958","sandeepautos@yahoo.com"
"Johnson Honda","Mr. Manjeet Singh Sapra","G. T. Road, Near Gupta Palace, Phagwara 144401","Phagwara","Punjab","01824-221010","9780041291","johnson.phg@gmail.com, customercare.johnson.honda@gmail.com"
"Avonn Honda","Mr. Sahil Anand","C-20-21, Calibre Market ,Rajpura,Patiala 140401","Rajpura","Punjab","01762-500600","9855013590, 9041509595","avonnhonda@gmail.com"
"Avonn Honda","Sahil Anand","Main Market, Sanaur, Patiala, Punjab-147103 147103","Rajpura","Punjab","","9855013590","honda@avonn.in"
"Banur Honda","Vishal Jain","Opp. Banda Bahadur Gurudwara, Main Road , Banur, Dist. Mohali 140601","Rajpura","Punjab","","9592410020","gurmelsingh400@gmail.com"
"MRZ Honda","Gurpreet Singh","G.T Road near padda petrol pump, Rayya 143112","Rayya","Punjab","6283656216","6283641832","mrzrayya@gmail.com"
"Gaurav Automobiles","Gaurav Arora","Gaurav Automobiles, Bela Road,Chamkor Sahib,Ropar,Punjab 171356","Ropar","Punjab","","9988675544","aroraautomobiles@gmail.com"
"C M Honda","Rajesh Chaudhary","C M Honda,Near Pnb,Ropar Road, Nurpur Bedi, Ropar. 140117","Ropar","Punjab","","7837336482","cmhondanpb@gmail.com"
"G S Honda","Mandeep Singh","Chandigarh Ludhiana Road, Morinda 140101","Ropar","Punjab","","9914400041","gshondamorinda11@gmail.com"
"M H Honda","Mr. Rajan Vohra","Near Jr Theatre, Kurali Road 140001","Ropar","Punjab","224753","9988464011","mhhondaropar@gmail.com"
"M H Honda","Mr. Vijay Gupta","Near Navjivan Hospital, Railway Road Nangal, 140124","Ropar","Punjab","","9872626753","hondanangal@gmail.com"
"Raj Motors","Mr. Sukhwinder Singh","Opp Hotel B Park Plaza,Anandpur Sahib  140125","Ropar","Punjab","","9988568878","rajhonda6@gmail.com"
"Sood Honda","Pankaj Mahindra","Near Nirankari Bhawan, Nh-21, Ghanauli 140113","Ropar","Punjab","","9417467653","pmahindra77@yahoo.com"
"Suraj Motors","Mr. Gurpinder Ji","Nangal Road,Kiratpur Sahib 140115","Ropar","Punjab","","9464801411","surajmotors732@gmail.com"
"Swarn Honda","Harpreet Singh","Opp. Tanvir Hotel, Main Road, Kurali 140103","Ropar","Punjab","","9872080400","harpreets1622@gmail.com"
"Singla Enterprises","Vikas Singla","Singla Enterprises, Narwana Road, Khanouri Mandi, Sangrur 148075","Sangrur","Punjab","","9876672625","singlavikas17@yahoo.co.in"
"Garg Honda","Parveen Garg","Sunam Road,Cheema 148029","Sangrur","Punjab","","9217534300","honda.garg@gmail.com"
"Harihar Honda","Madan Lal","Harihar Honda, Patiala Road, Sunam 148028","Sangrur","Punjab","","9417394943","gkansal518@gmail.com"
"Krishna Honda","Mr. Manoj Goyal","Jind-Delhi Road 148001","Sangrur","Punjab","01672-235173","9216209573","kvplsangrur@gmail.com"
"Manglam Honda","Mr. Narender Singh Takyar","Near Todar Mall Gate 140406","Sirhind","Punjab","","9417043667","manglamhondasirhind@yahoo.co.in"
"Satia Honda","Mr. Sagar Satia","Opp. Mission Hospital, Malout Road 152026","Sri Muktsar Sahib","Punjab","","9814122666","sagar.satia@gmail.com"
"VR Honda","Ritesh Mundra","Khasra No. 530,Fateh Chak Jarai, Amritsar Road, TaranTaran 143401","Tarn taran","Punjab","1852510002","8558880002","info@vrhonda.in"
"Platinum Honda","Chandan Mehta","MR Tower, Patiala Road, Zirakpur- 140603","Zirakpur","Punjab","01762-288888/81/82/83","8725050060","platinumhondazirakpur@gmail.com"
